盒饭类,,,,
品类,备品,备注,成本,建议售价
三荤,餐盒、布菲炉、电锅,打餐员,15+盒1.3,"两荤两素15
一荤三素12
一素三荤18"
三素,,,,
米饭,,,,
一汤,汤碗,,,
熟食类,,,,
品名,备品,备注,,建议售价
酱猪手,塑封袋、冷藏柜,定量定价、销售员,28,18/袋（半个）
酱猪耳,,,28,35/袋（1个）
酱鸡手,,,15,20/袋（5个）
酱鸡胗,,,10,15/袋
辣卤鸭头,布菲炉餐槽、冷藏柜,定量定价、销售员,4,6/个
辣卤鸭翅,,,2,3/个
辣卤鸭脖,,,3,5/个
特色餐,,,,
品类,备品,备注,,建议售价
卷饼,纸袋,操作员,饼+土豆丝+肠+卤蛋,7/个
猪脚饭,餐碗,打餐员,9+半个卤蛋+碗,15/份
小鸡炖蘑菇盖饭,餐碗,打餐员,9.5+碗,16/份
杀猪菜,餐碗,打餐员,9+碗,15/份
煮玉米,纸袋,销售员,2.5,4元/穗
双皮奶,展示柜,销售员,10+盒,15/份
黑芝麻糊炖奶,展示柜,销售员,9+盒,15/份
饮品,,,,
品类,备品,备注,,建议售价
速溶咖啡,咖啡机、咖啡杯、烧水设备,销售员,,
柠檬水,奶茶杯,销售员,,
精装水,原装,新鹏飞供应,,
